timestamp,kind,tx,ok,rssi,phase,payload
86239,Query,false,true,-41.5,3975,0000BFAC
86425,Ack,true,,,,
86614,Ack,false,true,-42,4001,0000000000000000
86715,QueryAdjust,true,,,,
86767,QueryAdjust,false,false,-66.5,,
86873,QueryAdjust,true,,,,
86925,QueryAdjust,false,false,-66.5,,
87346,Query,true,,,,
87540,Query,false,false,-66.5,,
87659,QueryAdjust,true,,,,
87856,QueryAdjust,false,false,-66.5,,
88784,Query,true,,,,
89338,Query,false,false,-78.5,,
89679,QueryAdjust,true,,,,
90236,QueryAdjust,false,false,-79,,
91281,Query,true,,,,
92739,Query,false,false,-95.5,,
93080,QueryAdjust,true,,,,
94541,QueryAdjust,false,false,-95,,
94915,Query,true,,,,
94980,Query,false,true,-42,3993,0000E233
95157,Ack,true,,,,
95345,Ack,false,true,-42,3999,0000000000000000
95446,QueryAdjust,true,,,,
95498,QueryAdjust,false,false,-66.5,,
95604,QueryAdjust,true,,,,
95656,QueryAdjust,false,false,-84.5,,
96088,Query,true,,,,
96282,Query,false,false,-66.5,,
96401,QueryAdjust,true,,,,
96597,QueryAdjust,false,false,-66.5,,
97594,Query,true,,,,
98142,Query,false,false,-79,,
98483,QueryAdjust,true,,,,
99011,QueryAdjust,false,false,-78.5,,
100073,Query,true,,,,
101528,Query,false,false,-95,,
101869,QueryAdjust,true,,,,
103364,QueryAdjust,false,false,-94.5,,
103754,Query,true,,,,
103821,Query,false,true,-41.5,4001,00009F24
103997,Ack,true,,,,
104186,Ack,false,true,-42,4000,0000000000000000
104287,QueryAdjust,true,,,,
104339,QueryAdjust,false,false,-66,,
104445,QueryAdjust,true,,,,
104497,QueryAdjust,false,false,-84,,
104924,Query,true,,,,
105115,Query,false,false,-66.5,,
105234,QueryAdjust,true,,,,
105428,QueryAdjust,false,false,-66.5,,
106359,Query,true,,,,
106879,Query,false,false,-78.5,,
107220,QueryAdjust,true,,,,
107740,QueryAdjust,false,false,-78.5,,
108790,Query,true,,,,
110257,Query,false,false,-96,,
110598,QueryAdjust,true,,,,
111903,QueryAdjust,false,false,-95,,
112269,Query,true,,,,
112335,Query,false,true,-42.5,3977,0000B023
112506,Ack,true,,,,
112694,Ack,false,true,-42,3999,0000000000000000
112795,QueryAdjust,true,,,,
112847,QueryAdjust,false,false,-66.5,,
112953,QueryAdjust,true,,,,
113005,QueryAdjust,false,false,-84.5,,
113435,Query,true,,,,
113630,Query,false,false,-66.5,,
113749,QueryAdjust,true,,,,
113943,QueryAdjust,false,false,-66.5,,
114938,Query,true,,,,
115485,Query,false,false,-78.5,,
115826,QueryAdjust,true,,,,
116351,QueryAdjust,false,false,-78,,
117419,Query,true,,,,
119095,Query,false,false,-96,,
119436,QueryAdjust,true,,,,
120891,QueryAdjust,false,false,-95,,
121290,Query,true,,,,
121355,Query,false,true,-42,4018,0000719E
121535,Ack,true,,,,
121724,Ack,false,true,-42,4000,0000000000000000
121825,QueryAdjust,true,,,,
121877,QueryAdjust,false,false,-84,,
121983,QueryAdjust,true,,,,
122035,QueryAdjust,false,false,-67,,
122466,Query,true,,,,
122662,Query,false,false,-66.5,,
122781,QueryAdjust,true,,,,
122976,QueryAdjust,false,false,-66.5,,
123911,Query,true,,,,
124459,Query,false,false,-78.5,,
124800,QueryAdjust,true,,,,
125350,QueryAdjust,false,false,-78.5,,
126332,Query,true,,,,
127808,Query,false,false,-96,,
128149,QueryAdjust,true,,,,
129601,QueryAdjust,false,false,-95.5,,
129956,Query,true,,,,
130023,Query,false,true,-41.5,4013,000007FE
130205,Ack,true,,,,
130394,Ack,false,true,-42,3999,0000000000000000
130495,QueryAdjust,true,,,,
130547,QueryAdjust,false,false,-66,,
130653,QueryAdjust,true,,,,
130705,QueryAdjust,false,false,-84.5,,
131128,Query,true,,,,
131324,Query,false,false,-66.5,,
131443,QueryAdjust,true,,,,
131637,QueryAdjust,false,false,-66.5,,
132630,Query,true,,,,
133148,Query,false,false,-78.5,,
133489,QueryAdjust,true,,,,
134107,QueryAdjust,false,false,-79,,
135143,Query,true,,,,
136426,Query,false,false,-95,,
136766,QueryAdjust,true,,,,
138149,QueryAdjust,false,false,-95.5,,
138534,Query,true,,,,
138601,Query,false,true,-41.5,4013,0000F670
138780,Ack,true,,,,
138969,Ack,false,true,-42,4002,0000000000000000
139070,QueryAdjust,true,,,,
139122,QueryAdjust,false,false,-66,,
139228,QueryAdjust,true,,,,
139280,QueryAdjust,false,false,-84,,
139796,Query,true,,,,
139991,Query,false,false,-66.5,,
140110,QueryAdjust,true,,,,
140306,QueryAdjust,false,false,-66,,
141233,Query,true,,,,
