reader_timestamp,reader_command,tag_timestamp,tag_command,round_trip_us
11455759,Query,11456182,Select,423
11455918,QueryAdjust,11456182,Select,264
11457037,Query,11457091,Query,54
11461439,QueryAdjust,11461518,Query,79
11464952,Query,11465329,Select,377
11466610,QueryAdjust,11466810,Query,200
11468934,Query,11469303,Select,369
11469093,QueryAdjust,11469303,Select,210
11470140,Query,11470272,Query,132
11473533,Query,11473618,Select,85
11474407,QueryAdjust,11474656,Query,249
11479695,QueryAdjust,11479822,Select,127
11482206,QueryAdjust,11482586,Select,380
11483265,Query,11483495,Query,230
11486729,Query,11486816,Select,87
11487694,QueryAdjust,11487834,Query,140
11493202,QueryAdjust,11493465,Query,263
11495565,Query,11495951,Select,386
11495724,QueryAdjust,11495951,Select,227
11496776,Query,11496919,Query,143
11500192,Query,11500250,Select,58
11501079,QueryAdjust,11501287,Query,208
11506642,QueryAdjust,11506907,Query,265
11509075,Query,11509429,Select,354
11509234,QueryAdjust,11509429,Select,195
11510300,Query,11510339,Query,39
11514573,QueryAdjust,11514695,Query,122
11520050,QueryAdjust,11520281,Query,231
11522404,Query,11522750,Select,346
11522562,QueryAdjust,11522750,Select,188
11523610,Query,11523718,Query,108
11526994,Query,11527032,Select,38
11527881,QueryAdjust,11528071,Query,190
11541099,Query,11541171,Select,72
11545626,QueryAdjust,11546028,Query,402
11550171,Query,11550374,Query,203
11554651,Query,11554698,Query,47
11558966,Query,11559342,Query,376
11559125,QueryAdjust,11559342,Query,217
11560178,Query,11560291,QueryAdjust,113
11563554,Query,11563815,Query,261
11567937,Query,11568054,QueryAdjust,117
11572469,Query,11572490,Query,21
11581471,Query,11581506,QueryAdjust,35
11585819,Query,11586044,Query,225
11585977,QueryAdjust,11586044,Query,67
11590384,Query,11590413,Query,29
11608427,Query,11608539,Select,112
11612986,Query,11613163,QueryAdjust,177
11613145,QueryAdjust,11613163,QueryAdjust,18
11618426,QueryAdjust,11618608,QueryAdjust,182
11621863,Query,11621971,Select,108
11635261,Query,11635339,Query,78
11639641,Query,11639682,QueryAdjust,41
11648693,Query,11648705,Query,12
11662123,Query,11662413,QueryAdjust,290
11664162,QueryAdjust,11664588,Select,426
11671308,Query,11671696,QueryAdjust,388
11677708,QueryAdjust,11677792,Select,84
11681751,Query,11682064,Select,313
11691718,QueryAdjust,11692035,Query,317
11705032,QueryAdjust,11705330,Query,298
11709189,QueryAdjust,11709657,Query,468
11713190,QueryAdjust,11713599,Select,409
11718507,QueryAdjust,11718510,Query,3
11722470,QueryAdjust,11722887,Query,417
11748491,Query,11748534,Query,43
11752868,Query,11752896,QueryAdjust,28
11775083,Query,11775201,Query,118
11801837,Query,11802101,QueryAdjust,264
11803838,QueryAdjust,11804295,Select,457
11817168,QueryAdjust,11817440,Select,272
11821291,QueryAdjust,11821676,Select,385
11830551,QueryAdjust,11830671,Select,120
11834490,QueryAdjust,11834922,Select,432
11837574,Query,11837870,QueryAdjust,296
11843771,QueryAdjust,11844059,Select,288
11847901,Query,11848291,Select,390
11848229,QueryAdjust,11848291,Select,62
11858012,QueryAdjust,11858281,Query,269
11862319,QueryAdjust,11862668,Query,349
11875676,Query,11876171,Query,495
11875995,QueryAdjust,11876171,Query,176
11880050,QueryAdjust,11880249,Query,199
11883692,Query,11883966,Select,274
11885628,QueryAdjust,11885820,QueryAdjust,192
11893170,Query,11893473,Select,303
11906961,Query,11907229,Query,268
11907851,QueryAdjust,11908138,Select,287
11911472,Query,11911890,Query,418
11916224,Query,11916255,Query,31
11917816,QueryAdjust,11918230,QueryAdjust,414
11921776,QueryAdjust,11921875,Query,99
11934213,Query,11934699,Select,486
11943663,QueryAdjust,11943873,Select,210
11948994,QueryAdjust,11949257,Query,263
11952927,QueryAdjust,11953242,Select,315
11956861,QueryAdjust,11957175,Select,314
11962355,QueryAdjust,11962449,Query,94
11966080,Query,11966418,Select,338
11966410,QueryAdjust,11966418,Select,8
11975721,QueryAdjust,11975755,Query,34
11979686,QueryAdjust,11979925,Select,239
11983648,QueryAdjust,11983899,Select,251
11988944,QueryAdjust,11989169,Query,225
11992874,QueryAdjust,11993153,Select,279
11996868,QueryAdjust,11997130,Select,262
12002395,QueryAdjust,12002453,Query,58
12006154,Query,12006635,Select,481
12006508,QueryAdjust,12006635,Select,127
12010425,QueryAdjust,12010558,Select,133
12015718,QueryAdjust,12015796,Query,78
12019293,Query,12019787,Select,494
12019645,QueryAdjust,12019787,Select,142
12023641,QueryAdjust,12023816,Select,175
12029187,QueryAdjust,12029241,Query,54
12032772,Query,12033269,Select,497
12033119,QueryAdjust,12033269,Select,150
12037085,QueryAdjust,12037254,Select,169
12046348,Query,12046571,Query,223
12046707,QueryAdjust,12046728,QueryAdjust,21
12054186,Query,12054610,Select,424
12059742,Query,12059806,Select,64
12060070,QueryAdjust,12060071,Query,1
12073068,Query,12073201,Select,133
12073380,QueryAdjust,12073469,Query,89
12081022,Query,12081445,Select,423
12086584,Query,12086636,Select,52
12086912,QueryAdjust,12087057,QueryAdjust,145
12094409,Query,12094824,Select,415
12100155,Query,12100268,Query,113
12103605,Query,12103924,Select,319
12104504,QueryAdjust,12104892,Query,388
12108012,Query,12108221,Select,209
12113571,Query,12113618,QueryAdjust,47
12113902,QueryAdjust,12114361,Select,459
12116947,Query,12117184,Select,237
12117839,QueryAdjust,12118093,Query,254
12121380,Query,12121444,Select,64
12150201,QueryAdjust,12150583,Query,382
12163343,QueryAdjust,12163826,Query,483
12176763,QueryAdjust,12177035,Query,272
12186215,QueryAdjust,12186691,Select,476
12190163,QueryAdjust,12190479,Query,316
12203514,QueryAdjust,12203820,Query,306
12226288,QueryAdjust,12226643,Select,355
12229847,Query,12230335,Query,488
12230181,QueryAdjust,12230335,Query,154
12233228,Query,12233665,Select,437
12239422,QueryAdjust,12239890,Select,468
12243512,QueryAdjust,12243686,Query,174
12246633,Query,12246978,Select,345
12247527,QueryAdjust,12248016,Query,489
12253032,QueryAdjust,12253169,Select,137
12255574,Query,12255957,Select,383
12255732,QueryAdjust,12255957,Select,225
12256778,Query,12256866,Query,88
12261059,QueryAdjust,12261164,Query,105
12264563,Query,12265034,Select,471
12266358,QueryAdjust,12266514,Query,156
12268962,Query,12269010,Select,48
12270500,QueryAdjust,12270860,QueryAdjust,360
12278002,Query,12278409,Select,407
12291441,Query,12291518,Select,77
12296126,QueryAdjust,12296472,Query,346
12297193,Query,12297347,QueryAdjust,154
12300670,Query,12300822,Query,152
12305077,Query,12305080,Query,3
12309384,Query,12309671,Query,287
12309543,QueryAdjust,12309671,Query,128
12313970,Query,12314014,Query,44
12318364,Query,12318385,Query,21
12322740,Query,12323068,Query,328
12322899,QueryAdjust,12323068,Query,169
12327375,Query,12327434,Query,59
12335857,Query,12336283,Query,426
12336015,QueryAdjust,12336283,Query,268
12355176,Query,12355373,QueryAdjust,197
12355334,QueryAdjust,12355373,QueryAdjust,39
12381925,Query,12382176,QueryAdjust,251
12382083,QueryAdjust,12382176,QueryAdjust,93
12408619,Query,12408794,Query,175
12408778,QueryAdjust,12408794,Query,16
12422065,QueryAdjust,12422436,Select,371
12436635,Query,12436808,QueryAdjust,173
12449025,Query,12449077,QueryAdjust,52
12453651,Query,12453736,Query,85
12458026,Query,12458231,Query,205
12462430,Query,12462480,Select,50
12462588,QueryAdjust,12462748,Query,160
12463656,Query,12463721,Select,65
12463978,QueryAdjust,12464030,Query,52
12473488,QueryAdjust,12473985,QueryAdjust,497
12476024,Query,12476159,Select,135
12476182,QueryAdjust,12476424,Query,242
12477231,Query,12477425,Select,194
12477568,QueryAdjust,12477723,Query,155
12489151,Query,12489526,Select,375
12489310,QueryAdjust,12489526,Select,216
12490368,Query,12490689,Select,321
12490698,QueryAdjust,12490998,Query,300
12502613,Query,12502980,Select,367
12502771,QueryAdjust,12502980,Select,209
12503825,Query,12504150,Select,325
12504142,QueryAdjust,12504150,Select,8
12516113,Query,12516449,Select,336
12516271,QueryAdjust,12516449,Select,178
12517331,Query,12517622,Select,291
12517656,QueryAdjust,12517930,Query,274
12535137,QueryAdjust,12535529,Select,392
12548354,QueryAdjust,12548684,Select,330
12564623,Query,12564836,QueryAdjust,213
12564782,QueryAdjust,12564836,QueryAdjust,54
12575638,QueryAdjust,12576064,Query,426
12579677,QueryAdjust,12580098,Select,421
12583629,QueryAdjust,12584069,Select,440
12589084,QueryAdjust,12589384,Query,300
12593087,QueryAdjust,12593365,Select,278
12597057,QueryAdjust,12597307,Select,250
12606346,Query,12606785,Select,439
12606680,QueryAdjust,12606785,Select,105
12610643,QueryAdjust,12610723,Select,80
12619929,Query,12620115,Query,186
12620263,QueryAdjust,12620272,QueryAdjust,9
12627697,Query,12628050,Select,353
12633293,Query,12633302,Query,9
12636725,Query,12637007,Select,282
12637671,QueryAdjust,12637977,Query,306
12641139,Query,12641336,Select,197
12646572,Query,12646634,QueryAdjust,62
12646919,QueryAdjust,12647380,Select,461
12650009,Query,12650153,Select,144
12650873,QueryAdjust,12651062,Query,189
12654369,Query,12654376,Select,7
12659157,QueryAdjust,12659531,Select,374
12659315,QueryAdjust,12659531,Select,216
12660391,Query,12660699,Select,308
12660724,QueryAdjust,12661008,Query,284
12672655,Query,12672947,Select,292
12672813,QueryAdjust,12672947,Select,134
12673860,Query,12674111,Select,251
12674219,QueryAdjust,12674410,Query,191
12681650,Query,12682150,Query,500
12686211,Query,12686213,Select,2
12686369,QueryAdjust,12686481,Query,112
12687429,Query,12687716,Query,287
12687762,QueryAdjust,12688046,QueryAdjust,284
12690907,Query,12691166,Query,259
12691799,QueryAdjust,12692049,QueryAdjust,250
12695323,Query,12695542,Query,219
12697318,QueryAdjust,12697515,QueryAdjust,197
12699673,Query,12699811,Query,138
12699831,QueryAdjust,12699967,QueryAdjust,136
12700880,Query,12701009,Query,129
12704269,Query,12704394,Query,125
12708651,Query,12708741,Query,90
12712982,Query,12713208,Query,226
12713141,QueryAdjust,12713208,Query,67
12714198,Query,12714420,Query,222
12714511,QueryAdjust,12714774,QueryAdjust,263
12717635,Query,12717886,Query,251
12718496,QueryAdjust,12718772,QueryAdjust,276
12722007,Query,12722257,Query,250
12723875,QueryAdjust,12724044,QueryAdjust,169
12726230,Query,12726307,Query,77
12726389,QueryAdjust,12726464,QueryAdjust,75
12727436,Query,12727505,Query,69
12746224,QueryAdjust,12746501,Select,277
12750251,QueryAdjust,12750507,Select,256
12755573,QueryAdjust,12755836,Query,263
12759452,QueryAdjust,12759795,Select,343
12763385,QueryAdjust,12763767,Select,382
12768851,QueryAdjust,12769019,Query,168
12772764,QueryAdjust,12773054,Select,290
12776738,QueryAdjust,12776985,Select,247
12782228,QueryAdjust,12782303,Query,75
12786006,Query,12786396,Select,390
12786340,QueryAdjust,12786396,Select,56
12790305,QueryAdjust,12790368,Select,63
12799457,Query,12799796,Select,339
12799794,QueryAdjust,12799796,Select,2
12803783,QueryAdjust,12803796,Select,13
12809087,QueryAdjust,12809128,Query,41
12812670,Query,12813146,Select,476
12813014,QueryAdjust,12813146,Select,132
12816950,QueryAdjust,12817113,Select,163
12826177,Query,12826600,Select,423
12826501,QueryAdjust,12826600,Select,99
12835900,QueryAdjust,12836391,Query,491
12840015,QueryAdjust,12840396,Select,381
12843960,QueryAdjust,12844346,Select,386
12849198,QueryAdjust,12849591,Query,393
12853141,QueryAdjust,12853436,Select,295
12857130,QueryAdjust,12857470,Select,340
12862572,QueryAdjust,12862817,Query,245
12866631,Query,12866992,Select,361
12866962,QueryAdjust,12866992,Select,30
12870903,QueryAdjust,12870946,Select,43
12880158,Query,12880222,Select,64
12880492,QueryAdjust,12880647,QueryAdjust,155
12888003,Query,12888489,Select,486
12894106,QueryAdjust,12894518,Select,412
12897134,Query,12897284,Select,150
12898025,QueryAdjust,12898192,Query,167
12901523,Query,12901566,Select,43
12906176,QueryAdjust,12906588,Select,412
12907593,QueryAdjust,12907764,Select,171
12919681,Query,12920104,Select,423
12919840,QueryAdjust,12920104,Select,264
12920898,Query,12921270,Select,372
12921247,QueryAdjust,12921270,Select,23
12937664,Query,12938160,Query,496
12942063,Query,12942271,Select,208
12955465,Query,12955600,Select,135
12955803,QueryAdjust,12955865,Query,62
12968781,Query,12968989,Select,208
12969129,QueryAdjust,12969257,Query,128
12976737,Query,12977225,Select,488
12982469,Query,12982573,Query,104
12985840,Query,12986294,Select,454
12986703,QueryAdjust,12987203,Query,500
12990196,Query,12990520,Select,324
12995839,Query,12995918,Query,79
12999284,Query,12999642,Select,358
13000186,QueryAdjust,13000611,Query,425
13003718,Query,13003939,Select,221
13009286,Query,13009454,Query,168
13012664,Query,13013133,Select,469
13013561,QueryAdjust,13014041,Query,480
13017048,Query,13017365,Select,317
13022784,Query,13022862,QueryAdjust,78
13023112,QueryAdjust,13023606,Select,494
13026225,Query,13026426,Select,201
13027113,QueryAdjust,13027395,Query,282
13030637,Query,13030723,Select,86
13036321,Query,13036371,QueryAdjust,50
13036656,QueryAdjust,13036808,QueryAdjust,152
13049654,Query,13049697,Select,43
13049984,QueryAdjust,13050121,QueryAdjust,137
13057468,Query,13057897,Select,429
13062885,Query,13063013,Select,128
13063214,QueryAdjust,13063278,Query,64
13076477,Query,13076592,Query,115
13079925,Query,13080321,Select,396
13080790,QueryAdjust,13081289,Query,499
13084309,Query,13084606,Select,297
13089036,QueryAdjust,13089445,Select,409
13090425,QueryAdjust,13090612,Select,187
13102189,Query,13102495,Select,306
13102348,QueryAdjust,13102495,Select,147
13103408,Query,13103666,Select,258
13103763,QueryAdjust,13103975,Query,212
13115465,Query,13115894,Select,429
13115623,QueryAdjust,13115894,Select,271
13116724,Query,13117057,Select,333
13117067,QueryAdjust,13117355,Query,288
13128835,QueryAdjust,13129223,Select,388
13137732,Query,13137824,QueryAdjust,92
13139734,QueryAdjust,13140013,Select,279
13149227,Query,13149302,Select,75
13149568,QueryAdjust,13149723,QueryAdjust,155
13162760,Query,13163023,Query,263
13163075,QueryAdjust,13163179,QueryAdjust,104
13170667,Query,13171030,Select,363
13176393,Query,13176514,Query,121
